Entity,Viscosity_at_150,SCM
AB-001,440,-2213
R1-002,288,-2008
R1-003,523,-1985
R1-004,310,-1961
R1-005,190,-1838
R1-006,314,-1941
R1-007,233,-1988
R1-008,567,-2085
R1-009,430,-2180
R1-010,99,-1898
R1-011,519,-2035
R1-012,471,-1861
R1-013,414,-1972
R1-014,415,-1983
R1-015,452,-1817
R1-016,73,-1706
R1-017,1534,-1949
R1-018,416,-1914
R2-001,37,-1503
R2-004,54,-1480
R2-005,37,-1456
R2-006,13,-1470
R2-007,21,-1433
R2-008,23,-1460
R2-009,19,-1469
R2-010,35,-1656
R2-011,26,-1500
R2-012,39,-1273
R2-013,26,-1357
R2-014,51,-1378
R2-015,83,-1446
R2-016,67,-1416
R2-017,84,-1564
R2-018,20,-1346
R2-019,60,-1503
R2-020,10,-1363
R2-021,119,-1197
R2-022,135,-1311
